g,repr_ATPases
g__0-14-0-10-38-17,nothing
g__0-14-0-20-30-16,nothing
g__0-14-0-20-34-12,AH
g__0-14-0-20-40-13,q F-
g__0-14-0-20-44-26,nothing
g__0-14-0-20-45-22,AH ANa
g__0-14-0-20-51-18,FH
g__0-14-0-20-59-11,AH
g__0-14-0-80-42-15,FH
g__0-14-0-80-44-23,nothing
g__0-14-0-80-59-12,FH
g__0-14-0-80-60-11,FH
g__0-14-3-00-41-53,FH
g__0-14-3-00-62-12,FH
g__01-FULL-36-10b,nothing
g__01-FULL-36-15b,FH
g__01-FULL-38-12b,FH
g__01-FULL-39-12b,FH
g__01-FULL-43-11b,FH
g__01-FULL-43-15b,q F-
g__01-FULL-44-24b,FH
g__01-FULL-45-10b,FH
g__01-FULL-45-15b,nothing
g__01-FULL-45-25b,FH
g__01-FULL-45-34b,FH
g__01-FULL-48-32b,nothing
g__01-FULL-49-22b,FH
g__01-FULL-54-110,FH
g__02-FULL-45-10c,nothing
g__02-FULL-45-11b,FH
g__02-FULL-45-17b,FH
g__1-14-0-10-31-34,nothing
g__1-14-0-10-32-24,nothing
g__1-14-0-10-34-10,FH
g__1-14-0-10-34-76,nothing
g__1-14-0-10-36-11,nothing
g__1-14-0-10-36-16,ANa
g__1-14-0-10-36-19,FNa
g__1-14-0-10-36-32,nothing
g__1-14-0-10-37-12,nothing
g__1-14-0-10-37-14,FH
g__1-14-0-10-40-38,nothing
g__1-14-0-10-41-10,ANa
g__1-14-0-10-41-12,nothing
g__1-14-0-10-41-28,nothing
g__1-14-0-10-42-12,FNa
g__1-14-0-10-42-19,FH
g__1-14-0-10-42-22,nothing
g__1-14-0-10-43-10,nothing
g__1-14-0-10-43-11,q FH
g__1-14-0-10-43-13,FH
g__1-14-0-10-43-42,FH
g__1-14-0-10-44-13,AH
g__1-14-0-10-44-23,nothing
g__1-14-0-10-45-20,FH
g__1-14-0-10-45-29,AH
g__1-14-0-10-45-34,FH
g__1-14-0-10-46-23,nothing
g__1-14-0-10-46-36,nothing
g__1-14-0-10-47-10,FNa
g__1-14-0-10-47-16,FH
g__1-14-0-10-48-11,FH
g__1-14-0-10-49-15,FNa
g__1-14-0-10-49-17,nothing
g__1-14-0-10-51-16,nothing
g__1-14-0-10-55-24,ANa
g__1-14-0-10-56-10,FH
g__1-14-0-20-35-14,FNa
g__1-14-0-20-39-34,FNa
